Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 32
Max Evaluations: 5000

Generation 133: Best Solution = [-1.97170655e-13 -5.27217140e-13], Best Fitness = 1.5920598173124745e-12, Evaluations = 4288
Generation 134: Best Solution = [-1.97170655e-13 -5.27217140e-13], Best Fitness = 1.5920598173124745e-12, Evaluations = 4320
Generation 135: Best Solution = [-1.97170655e-13 -5.27217140e-13], Best Fitness = 1.5920598173124745e-12, Evaluations = 4352
Generation 136: Best Solution = [ 4.35752444e-13 -1.30376605e-13], Best Fitness = 1.2865264409356314e-12, Evaluations = 4384
Generation 137: Best Solution = [ 4.35752444e-13 -1.30376605e-13], Best Fitness = 1.2865264409356314e-12, Evaluations = 4416
Generation 138: Best Solution = [-2.34636698e-13  2.47553922e-13], Best Fitness = 9.632294961647858e-13, Evaluations = 4448
Generation 139: Best Solution = [-9.75854947e-14 -8.16993262e-14], Best Fitness = 3.5926817076870066e-13, Evaluations = 4480
Generation 140: Best Solution = [-9.75854947e-14 -8.16993262e-14], Best Fitness = 3.5926817076870066e-13, Evaluations = 4512
Generation 141: Best Solution = [-9.75854947e-14 -8.16993262e-14], Best Fitness = 3.5926817076870066e-13, Evaluations = 4544
Generation 142: Best Solution = [-9.75854947e-14 -8.16993262e-14], Best Fitness = 3.5926817076870066e-13, Evaluations = 4576
Generation 143: Best Solution = [-6.24016358e-14 -1.01264601e-13], Best Fitness = 3.3795188869589765e-13, Evaluations = 4608
Generation 144: Best Solution = [1.87038527e-14 9.64240944e-14], Best Fitness = 2.7755575615628914e-13, Evaluations = 4640
Generation 145: Best Solution = [1.87038527e-14 9.64240944e-14], Best Fitness = 2.7755575615628914e-13, Evaluations = 4672
Generation 146: Best Solution = [1.87038527e-14 9.64240944e-14], Best Fitness = 2.7755575615628914e-13, Evaluations = 4704
Generation 147: Best Solution = [-1.16806224e-14  4.32963760e-14], Best Fitness = 1.283417816466681e-13, Evaluations = 4736
Generation 148: Best Solution = [-1.16806224e-14  4.32963760e-14], Best Fitness = 1.283417816466681e-13, Evaluations = 4768
Generation 149: Best Solution = [-1.07244470e-14 -1.02666106e-14], Best Fitness = 4.3076653355456074e-14, Evaluations = 4800
Generation 150: Best Solution = [-1.07244470e-14 -1.02666106e-14], Best Fitness = 4.3076653355456074e-14, Evaluations = 4832
Generation 151: Best Solution = [-1.07244470e-14 -1.02666106e-14], Best Fitness = 4.3076653355456074e-14, Evaluations = 4864
Generation 152: Best Solution = [-1.07244470e-14 -1.02666106e-14], Best Fitness = 4.3076653355456074e-14, Evaluations = 4896
Generation 153: Best Solution = [-1.34355315e-15 -2.68173397e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 4928
Generation 154: Best Solution = [-1.34355315e-15 -2.68173397e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 4960
Generation 155: Best Solution = [-1.34355315e-15 -2.68173397e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 4992
Generation 156: Best Solution = [-1.34355315e-15 -2.68173397e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 5024
