Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 10
Population Size: 16
Max Evaluations: 10000

Generation 81: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1312
Generation 82: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1328
Generation 83: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 133.9145006302679, Evaluations = 1344
Generation 84: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 115.12560300958194, Evaluations = 1360
Generation 85: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 115.12560300958194, Evaluations = 1376
Generation 86: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 115.12560300958194, Evaluations = 1392
Generation 87: Best Solution = [ 0.2793829   0.54259489  0.18726265 -0.01805366  0.21129876 -0.07453877
  0.1308545  -0.05127966 -0.95731267  1.01403987], Best Fitness = 115.12560300958194, Evaluations = 1408
Generation 88: Best Solution = [-0.37122834 -0.34324401  0.2905955   0.58256612  0.01809448 -0.07766244
 -0.24728112  0.02877648  0.36918152  0.56413093], Best Fitness = 109.64867490223273, Evaluations = 1424
Generation 89: Best Solution = [-0.37122834 -0.34324401  0.2905955   0.58256612  0.01809448 -0.07766244
 -0.24728112  0.02877648  0.36918152  0.56413093], Best Fitness = 109.64867490223273, Evaluations = 1440
Generation 90: Best Solution = [-0.37122834 -0.34324401  0.2905955   0.58256612  0.01809448 -0.07766244
 -0.24728112  0.02877648  0.36918152  0.56413093], Best Fitness = 109.64867490223273, Evaluations = 1456
Generation 91: Best Solution = [-0.37122834 -0.34324401  0.2905955   0.58256612  0.01809448 -0.07766244
 -0.24728112  0.02877648  0.36918152  0.56413093], Best Fitness = 102.93096710954289, Evaluations = 1472
Generation 92: Best Solution = [ 0.24244523  0.15316615 -0.11617395  0.35030482  0.57454926  0.34754887
  0.43197072  0.61153905  0.83420248  0.81423212], Best Fitness = 89.01895587851457, Evaluations = 1488
Generation 93: Best Solution = [ 0.00856565 -0.12046704  0.26095448  0.07806343  0.10094761  0.42678352
  0.12397543 -0.44759744  0.49465531  0.74143171], Best Fitness = 88.79078084116722, Evaluations = 1504
Generation 94: Best Solution = [ 0.00856565 -0.12046704  0.26095448  0.07806343  0.10094761  0.42678352
  0.12397543 -0.44759744  0.49465531  0.74143171], Best Fitness = 88.79078084116722, Evaluations = 1520
Generation 95: Best Solution = [ 0.00856565 -0.12046704  0.26095448  0.07806343  0.10094761  0.42678352
  0.12397543 -0.44759744  0.49465531  0.74143171], Best Fitness = 86.84969832418005, Evaluations = 1536
Generation 96: Best Solution = [ 0.00856565 -0.12046704  0.26095448  0.07806343  0.10094761  0.42678352
  0.12397543 -0.44759744  0.49465531  0.74143171], Best Fitness = 86.84969832418005, Evaluations = 1552
Generation 97: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1568
Generation 98: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1584
Generation 99: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1600
Generation 100: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1616
Generation 101: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1632
Generation 102: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1648
Generation 103: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1664
Generation 104: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1680
Generation 105: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1696
Generation 106: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1712
Generation 107: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1728
Generation 108: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1744
Generation 109: Best Solution = [-0.08399803  0.07522541  0.36022211  0.25945048  0.13854927 -0.39454349
  0.10249331  0.31377619  0.26393508 -0.18306705], Best Fitness = 58.44230238317822, Evaluations = 1760
Generation 110: Best Solution = [-0.31757988  0.40021996  0.37040718  0.11831532  0.15530799 -0.07453877
  0.2430567   0.54702323  0.5043542   0.37192581], Best Fitness = 57.58799458248633, Evaluations = 1776
Generation 111: Best Solution = [-0.31757988  0.40021996  0.37040718  0.11831532  0.15530799 -0.07453877
  0.2430567   0.54702323  0.5043542   0.37192581], Best Fitness = 57.58799458248633, Evaluations = 1792
Generation 112: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 1808
Generation 113: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 1824
Generation 114: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 1840
Generation 115: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 1856
Generation 116: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 1872
Generation 117: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 1888
Generation 118: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 1904
Generation 119: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 1920
Generation 120: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 1936
Generation 121: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 1952
Generation 122: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 1968
Generation 123: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 1984
Generation 124: Best Solution = [ 0.26658619  0.15021043 -0.11569199  0.02223578 -0.080899   -0.25212999
  0.2599707   0.07882681  0.18360509 -0.10364339], Best Fitness = 27.062454613599165, Evaluations = 2000
Generation 125: Best Solution = [ 0.00856565  0.05948276  0.14151394  0.07925196  0.04596806  0.05076993
 -0.12488911  0.30563676  0.12040356 -0.00497697], Best Fitness = 20.93424711498757, Evaluations = 2016
Generation 126: Best Solution = [ 0.00856565  0.05948276  0.14151394  0.07925196  0.04596806  0.05076993
 -0.12488911  0.30563676  0.12040356 -0.00497697], Best Fitness = 20.93424711498757, Evaluations = 2032
Generation 127: Best Solution = [ 0.00856565  0.05948276  0.14151394  0.07925196  0.04596806  0.05076993
 -0.12488911  0.30563676  0.12040356 -0.00497697], Best Fitness = 20.93424711498757, Evaluations = 2048
Generation 128: Best Solution = [ 0.00856565  0.05948276  0.14151394  0.07925196  0.04596806  0.05076993
 -0.12488911  0.30563676  0.12040356 -0.00497697], Best Fitness = 20.93424711498757, Evaluations = 2064
Generation 129: Best Solution = [ 0.00856565  0.05948276  0.14151394  0.07925196  0.04596806  0.05076993
 -0.12488911  0.30563676  0.12040356 -0.00497697], Best Fitness = 20.93424711498757, Evaluations = 2080
Generation 130: Best Solution = [ 0.00856565  0.05948276  0.14151394  0.07925196  0.04596806  0.05076993
 -0.12488911  0.30563676  0.12040356 -0.00497697], Best Fitness = 20.93424711498757, Evaluations = 2096
Generation 131: Best Solution = [ 0.00856565  0.05948276  0.14151394  0.07925196  0.04596806  0.05076993
