Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 164: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1320
Generation 165: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1328
Generation 166: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1336
Generation 167: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1344
Generation 168: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1352
Generation 169: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1360
Generation 170: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1368
Generation 171: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1376
Generation 172: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1384
Generation 173: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1392
Generation 174: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1400
Generation 175: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1408
Generation 176: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1416
Generation 177: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1424
Generation 178: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1432
Generation 179: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1440
Generation 180: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1448
Generation 181: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1456
Generation 182: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1464
Generation 183: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1472
Generation 184: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1480
Generation 185: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1488
Generation 186: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1496
Generation 187: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1504
Generation 188: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1512
Generation 189: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1520
Generation 190: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1528
Generation 191: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1536
Generation 192: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1544
Generation 193: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1552
Generation 194: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1560
Generation 195: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1568
Generation 196: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1576
Generation 197: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1584
Generation 198: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1592
Generation 199: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1600
Generation 200: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1608
Generation 201: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1616
Generation 202: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1624
Generation 203: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1632
Generation 204: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1640
Generation 205: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1648
Generation 206: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1656
Generation 207: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1664
Generation 208: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1672
Generation 209: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1680
Generation 210: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1688
Generation 211: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1696
Generation 212: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1704
Generation 213: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1712
Generation 214: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1720
Generation 215: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1728
Generation 216: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1736
Generation 217: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1744
Generation 218: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1752
Generation 219: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1760
Generation 220: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193241, Evaluations = 1768
