Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 131: Best Solution = [-1.45174159e-13  3.60405247e-14], Best Fitness = 2.2374455897742092e-26, Evaluations = 1056
Generation 132: Best Solution = [ 1.18725288e-13 -8.26383620e-14], Best Fitness = 2.092479295344331e-26, Evaluations = 1064
Generation 133: Best Solution = [-1.58634299e-14 -8.26383620e-14], Best Fitness = 7.080747284812133e-27, Evaluations = 1072
Generation 134: Best Solution = [-1.58634299e-14 -8.26383620e-14], Best Fitness = 6.94115043681786e-27, Evaluations = 1080
Generation 135: Best Solution = [5.27768164e-14 5.72530399e-14], Best Fitness = 6.0633029277478644e-27, Evaluations = 1088
Generation 136: Best Solution = [5.53630310e-14 1.36117083e-14], Best Fitness = 3.250343799205568e-27, Evaluations = 1096
Generation 137: Best Solution = [ 2.55005465e-14 -2.58609525e-15], Best Fitness = 6.569657598897309e-28, Evaluations = 1104
Generation 138: Best Solution = [ 2.55005465e-14 -2.58609525e-15], Best Fitness = 6.569657598897309e-28, Evaluations = 1112
Generation 139: Best Solution = [ 2.93212965e-15 -1.51808627e-14], Best Fitness = 2.3905597683980073e-28, Evaluations = 1120
Generation 140: Best Solution = [ 2.93212965e-15 -1.51808627e-14], Best Fitness = 2.3905597683980073e-28, Evaluations = 1128
Generation 141: Best Solution = [ 2.93212965e-15 -1.51808627e-14], Best Fitness = 2.3905597683980073e-28, Evaluations = 1136
Generation 142: Best Solution = [ 2.93212965e-15 -1.51808627e-14], Best Fitness = 2.3905597683980073e-28, Evaluations = 1144
Generation 143: Best Solution = [ 2.93212965e-15 -1.51808627e-14], Best Fitness = 2.3905597683980073e-28, Evaluations = 1152
Generation 144: Best Solution = [ 2.93212965e-15 -1.51808627e-14], Best Fitness = 1.3528040338271974e-28, Evaluations = 1160
Generation 145: Best Solution = [ 2.93212965e-15 -1.51808627e-14], Best Fitness = 1.3528040338271974e-28, Evaluations = 1168
