Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 145: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1168
Generation 146: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1176
Generation 147: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1184
Generation 148: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1192
Generation 149: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1200
Generation 150: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1208
Generation 151: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1216
Generation 152: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1224
Generation 153: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1232
Generation 154: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1240
Generation 155: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1248
Generation 156: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1256
Generation 157: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1264
Generation 158: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1272
Generation 159: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1280
Generation 160: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1288
Generation 161: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1296
Generation 162: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1304
Generation 163: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1312
Generation 164: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1320
Generation 165: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1328
Generation 166: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1336
Generation 167: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1344
Generation 168: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1352
Generation 169: Best Solution = [3.13052173 4.3971472 ], Best Fitness = 0.007867911353046986, Evaluations = 1360
Generation 170: Best Solution = [3.13544615 4.47840601], Best Fitness = 0.007806124990833774, Evaluations = 1368
Generation 171: Best Solution = [3.13544615 4.47840601], Best Fitness = 0.007806124990833774, Evaluations = 1376
Generation 172: Best Solution = [3.13544615 4.47840601], Best Fitness = 0.007806124990833774, Evaluations = 1384
Generation 173: Best Solution = [3.13544615 4.47840601], Best Fitness = 0.007806124990833774, Evaluations = 1392
Generation 174: Best Solution = [3.13544615 4.47840601], Best Fitness = 0.007806124990833774, Evaluations = 1400
Generation 175: Best Solution = [3.13544615 4.47840601], Best Fitness = 0.007806124990833774, Evaluations = 1408
Generation 176: Best Solution = [3.13544615 4.47840601], Best Fitness = 0.007806124990833774, Evaluations = 1416
Generation 177: Best Solution = [3.13544615 4.47840601], Best Fitness = 0.007806124990833774, Evaluations = 1424
Generation 178: Best Solution = [3.13544615 4.47840601], Best Fitness = 0.007806124990833774, Evaluations = 1432
Generation 179: Best Solution = [3.13544615 4.47840601], Best Fitness = 0.007806124990833774, Evaluations = 1440
Generation 180: Best Solution = [-3.14611645  4.41870118], Best Fitness = 0.007512158876570751, Evaluations = 1448
Generation 181: Best Solution = [-3.14611645  4.41870118], Best Fitness = 0.007512158876570751, Evaluations = 1456
Generation 182: Best Solution = [-3.14611645  4.41870118], Best Fitness = 0.007512158876570751, Evaluations = 1464
Generation 183: Best Solution = [3.13544615 4.41855716], Best Fitness = 0.007505486622943591, Evaluations = 1472
Generation 184: Best Solution = [3.13544615 4.41855716], Best Fitness = 0.007505486622943591, Evaluations = 1480
Generation 185: Best Solution = [3.13713523 4.41870118], Best Fitness = 0.007497753028937293, Evaluations = 1488
Generation 186: Best Solution = [3.13052173 4.44369027], Best Fitness = 0.007448082384943988, Evaluations = 1496
Generation 187: Best Solution = [3.13052173 4.44369027], Best Fitness = 0.007448082384943988, Evaluations = 1504
Generation 188: Best Solution = [3.13157811 4.4412262 ], Best Fitness = 0.00743364919354228, Evaluations = 1512
Generation 189: Best Solution = [3.13765233 4.44358945], Best Fitness = 0.007405475196906153, Evaluations = 1520
Generation 190: Best Solution = [3.13765233 4.44358945], Best Fitness = 0.007405475196906153, Evaluations = 1528
Generation 191: Best Solution = [3.13765233 4.44358945], Best Fitness = 0.007399440738094842, Evaluations = 1536
Generation 192: Best Solution = [3.13765233 4.44358945], Best Fitness = 0.007399440738094842, Evaluations = 1544
Generation 193: Best Solution = [3.13765233 4.44358945], Best Fitness = 0.007399440738094842, Evaluations = 1552
Generation 194: Best Solution = [3.14037585 4.43736691], Best Fitness = 0.00739639332416242, Evaluations = 1560
Generation 195: Best Solution = [3.13980981 4.43814085], Best Fitness = 0.007396086062727236, Evaluations = 1568
Generation 196: Best Solution = [3.13980981 4.43814085], Best Fitness = 0.007396086062727236, Evaluations = 1576
Generation 197: Best Solution = [3.13980981 4.43814085], Best Fitness = 0.007396070022924528, Evaluations = 1584
Generation 198: Best Solution = [3.13980981 4.43814085], Best Fitness = 0.007396070022924528, Evaluations = 1592
Generation 199: Best Solution = [3.13980981 4.43814085], Best Fitness = 0.007396070022924528, Evaluations = 1600
Generation 200: Best Solution = [3.13980981 4.43814085], Best Fitness = 0.007396070022924528, Evaluations = 1608
Generation 201: Best Solution = [3.14012613 4.43859436], Best Fitness = 0.007396051314042196, Evaluations = 1616
Generation 202: Best Solution = [3.14012613 4.43859436], Best Fitness = 0.007396051314042196, Evaluations = 1624
Generation 203: Best Solution = [3.14012613 4.43859436], Best Fitness = 0.007396051314042196, Evaluations = 1632
Generation 204: Best Solution = [3.14012613 4.43859436], Best Fitness = 0.007396051314042196, Evaluations = 1640
Generation 205: Best Solution = [3.1400284  4.43839216], Best Fitness = 0.007396041035938827, Evaluations = 1648
Generation 206: Best Solution = [3.1400284  4.43839216], Best Fitness = 0.007396041035938827, Evaluations = 1656
Generation 207: Best Solution = [3.1400284  4.43839216], Best Fitness = 0.007396041035938827, Evaluations = 1664
Generation 208: Best Solution = [3.1400284  4.43839216], Best Fitness = 0.007396040807970072, Evaluations = 1672
Generation 209: Best Solution = [3.14001173 4.43844832], Best Fitness = 0.007396040397235626, Evaluations = 1680
Generation 210: Best Solution = [3.14001173 4.43844832], Best Fitness = 0.007396040397235626, Evaluations = 1688
Generation 211: Best Solution = [3.14001173 4.43844832], Best Fitness = 0.007396040397235626, Evaluations = 1696
Generation 212: Best Solution = [3.14001173 4.43844832], Best Fitness = 0.007396040397235626, Evaluations = 1704
Generation 213: Best Solution = [3.14001173 4.43844832], Best Fitness = 0.007396040397235626, Evaluations = 1712
Generation 214: Best Solution = [3.14002192 4.43843044], Best Fitness = 0.007396040383713998, Evaluations = 1720
Generation 215: Best Solution = [3.14001721 4.43844832], Best Fitness = 0.007396040352507516, Evaluations = 1728
Generation 216: Best Solution = [3.14001959 4.43844535], Best Fitness = 0.007396040338928267, Evaluations = 1736
Generation 217: Best Solution = [3.14002447 4.43844249], Best Fitness = 0.007396040336797638, Evaluations = 1744
Generation 218: Best Solution = [3.14002447 4.43844249], Best Fitness = 0.007396040336797638, Evaluations = 1752
Generation 219: Best Solution = [3.14002447 4.43844249], Best Fitness = 0.0073960403351125414, Evaluations = 1760
Generation 220: Best Solution = [3.14002447 4.43844249], Best Fitness = 0.0073960403351125414, Evaluations = 1768
Generation 221: Best Solution = [3.14002447 4.43844249], Best Fitness = 0.0073960403351125414, Evaluations = 1776
Generation 222: Best Solution = [3.14002302 4.4384439 ], Best Fitness = 0.007396040334276099, Evaluations = 1784
Generation 223: Best Solution = [3.1400227  4.43844451], Best Fitness = 0.0073960403341173375, Evaluations = 1792
Generation 224: Best Solution = [3.1400227  4.43844451], Best Fitness = 0.0073960403341173375, Evaluations = 1800
Generation 225: Best Solution = [3.1400227  4.43844451], Best Fitness = 0.0073960403341173375, Evaluations = 1808
Generation 226: Best Solution = [3.1400227  4.43844451], Best Fitness = 0.0073960403341173375, Evaluations = 1816
Generation 227: Best Solution = [3.1400227  4.43844451], Best Fitness = 0.0073960403341173375, Evaluations = 1824
Generation 228: Best Solution = [3.1400227  4.43844451], Best Fitness = 0.0073960403341173375, Evaluations = 1832
Generation 229: Best Solution = [3.1400227  4.43844451], Best Fitness = 0.0073960403341173375, Evaluations = 1840
Generation 230: Best Solution = [3.1400227  4.43844451], Best Fitness = 0.0073960403341173375, Evaluations = 1848
Generation 231: Best Solution = [3.1400226  4.43844456], Best Fitness = 0.0073960403341171155, Evaluations = 1856
Generation 232: Best Solution = [3.14002269 4.43844452], Best Fitness = 0.007396040334116782, Evaluations = 1864
Generation 233: Best Solution = [3.14002269 4.43844452], Best Fitness = 0.007396040334115894, Evaluations = 1872
Generation 234: Best Solution = [3.14002261 4.43844451], Best Fitness = 0.007396040334115561, Evaluations = 1880
Generation 235: Best Solution = [3.14002264 4.43844452], Best Fitness = 0.00739604033411545, Evaluations = 1888
Generation 236: Best Solution = [3.14002264 4.43844452], Best Fitness = 0.00739604033411545, Evaluations = 1896
Generation 237: Best Solution = [3.14002261 4.43844448], Best Fitness = 0.007396040334115228, Evaluations = 1904
Generation 238: Best Solution = [3.14002261 4.43844448], Best Fitness = 0.007396040334115228, Evaluations = 1912
Generation 239: Best Solution = [3.14002262 4.43844449], Best Fitness = 0.007396040334115006, Evaluations = 1920
Generation 240: Best Solution = [3.14002262 4.43844449], Best Fitness = 0.007396040334115006, Evaluations = 1928
Generation 241: Best Solution = [3.14002262 4.43844449], Best Fitness = 0.007396040334115006, Evaluations = 1936
Generation 242: Best Solution = [3.14002262 4.43844449], Best Fitness = 0.007396040334115006, Evaluations = 1944
Generation 243: Best Solution = [3.14002262 4.43844449], Best Fitness = 0.007396040334115006, Evaluations = 1952
Generation 244: Best Solution = [3.14002262 4.43844449], Best Fitness = 0.007396040334115006, Evaluations = 1960
Generation 245: Best Solution = [3.14002262 4.43844449], Best Fitness = 0.007396040334115006, Evaluations = 1968
Generation 246: Best Solution = [3.14002262 4.43844449], Best Fitness = 0.007396040334115006, Evaluations = 1976
Generation 247: Best Solution = [3.14002262 4.43844449], Best Fitness = 0.007396040334115006, Evaluations = 1984
Generation 248: Best Solution = [3.14002262 4.43844449], Best Fitness = 0.007396040334115006, Evaluations = 1992
Generation 249: Best Solution = [3.14002262 4.43844449], Best Fitness = 0.007396040334115006, Evaluations = 2000
