Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 240: Best Solution = [1.00000148 1.00000288], Best Fitness = 2.690096775721497e-12, Evaluations = 1928
Generation 241: Best Solution = [1.00000148 1.00000288], Best Fitness = 2.690096775721497e-12, Evaluations = 1936
Generation 242: Best Solution = [1.00000148 1.00000288], Best Fitness = 2.690096775721497e-12, Evaluations = 1944
Generation 243: Best Solution = [1.00000148 1.00000288], Best Fitness = 2.690096775721497e-12, Evaluations = 1952
Generation 244: Best Solution = [1.00000148 1.00000288], Best Fitness = 2.26511428227612e-12, Evaluations = 1960
Generation 245: Best Solution = [1.00000148 1.00000288], Best Fitness = 2.26511428227612e-12, Evaluations = 1968
Generation 246: Best Solution = [1.00000148 1.00000288], Best Fitness = 2.26511428227612e-12, Evaluations = 1976
Generation 247: Best Solution = [1.00000148 1.00000288], Best Fitness = 2.26511428227612e-12, Evaluations = 1984
Generation 248: Best Solution = [1.00000148 1.00000288], Best Fitness = 2.26511428227612e-12, Evaluations = 1992
Generation 249: Best Solution = [1.00000148 1.00000288], Best Fitness = 2.26511428227612e-12, Evaluations = 2000
