Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 157: Best Solution = [1.31107715e-14 6.66498998e-14], Best Fitness = 1.9229062786507711e-13, Evaluations = 1264
Generation 158: Best Solution = [1.31107715e-14 6.66498998e-14], Best Fitness = 1.887379141862766e-13, Evaluations = 1272
Generation 159: Best Solution = [-4.08257526e-15  6.16882749e-14], Best Fitness = 1.745270594710746e-13, Evaluations = 1280
Generation 160: Best Solution = [1.25037354e-15 6.04478930e-14], Best Fitness = 1.709743457922741e-13, Evaluations = 1288
Generation 161: Best Solution = [6.36745740e-15 5.08727083e-14], Best Fitness = 1.461053500406706e-13, Evaluations = 1296
Generation 162: Best Solution = [6.36745740e-15 5.08727083e-14], Best Fitness = 1.461053500406706e-13, Evaluations = 1304
Generation 163: Best Solution = [6.36745740e-15 5.08727083e-14], Best Fitness = 1.461053500406706e-13, Evaluations = 1312
Generation 164: Best Solution = [6.36745740e-15 5.08727083e-14], Best Fitness = 1.461053500406706e-13, Evaluations = 1320
Generation 165: Best Solution = [-3.75856689e-16  4.60880830e-14], Best Fitness = 1.318944953254686e-13, Evaluations = 1328
Generation 166: Best Solution = [1.51543141e-15 4.48003289e-14], Best Fitness = 1.283417816466681e-13, Evaluations = 1336
Generation 167: Best Solution = [1.51543141e-15 4.48003289e-14], Best Fitness = 1.283417816466681e-13, Evaluations = 1344
Generation 168: Best Solution = [1.51543141e-15 4.48003289e-14], Best Fitness = 1.283417816466681e-13, Evaluations = 1352
Generation 169: Best Solution = [1.51543141e-15 4.48003289e-14], Best Fitness = 1.212363542890671e-13, Evaluations = 1360
Generation 170: Best Solution = [1.51543141e-15 4.48003289e-14], Best Fitness = 1.212363542890671e-13, Evaluations = 1368
Generation 171: Best Solution = [1.51543141e-15 4.48003289e-14], Best Fitness = 1.212363542890671e-13, Evaluations = 1376
Generation 172: Best Solution = [1.51543141e-15 4.48003289e-14], Best Fitness = 1.212363542890671e-13, Evaluations = 1384
Generation 173: Best Solution = [1.04225072e-15 3.93716603e-14], Best Fitness = 1.1057821325266559e-13, Evaluations = 1392
Generation 174: Best Solution = [1.04225072e-15 3.93716603e-14], Best Fitness = 1.1057821325266559e-13, Evaluations = 1400
Generation 175: Best Solution = [2.15889109e-15 3.73200286e-14], Best Fitness = 1.0702549957386509e-13, Evaluations = 1408
Generation 176: Best Solution = [2.15889109e-15 3.73200286e-14], Best Fitness = 1.0702549957386509e-13, Evaluations = 1416
Generation 177: Best Solution = [2.15889109e-15 3.73200286e-14], Best Fitness = 1.0702549957386509e-13, Evaluations = 1424
Generation 178: Best Solution = [2.46192011e-15 3.42436139e-14], Best Fitness = 9.992007221626409e-14, Evaluations = 1432
Generation 179: Best Solution = [2.46192011e-15 3.42436139e-14], Best Fitness = 9.992007221626409e-14, Evaluations = 1440
Generation 180: Best Solution = [2.46192011e-15 3.42436139e-14], Best Fitness = 9.992007221626409e-14, Evaluations = 1448
Generation 181: Best Solution = [2.10718979e-15 3.39865582e-14], Best Fitness = 9.636735853746359e-14, Evaluations = 1456
Generation 182: Best Solution = [2.10718979e-15 3.39865582e-14], Best Fitness = 9.281464485866309e-14, Evaluations = 1464
Generation 183: Best Solution = [2.10718979e-15 3.39865582e-14], Best Fitness = 9.281464485866309e-14, Evaluations = 1472
Generation 184: Best Solution = [2.10718979e-15 3.39865582e-14], Best Fitness = 9.281464485866309e-14, Evaluations = 1480
Generation 185: Best Solution = [1.90433525e-15 3.07619356e-14], Best Fitness = 8.570921750106208e-14, Evaluations = 1488
Generation 186: Best Solution = [1.90433525e-15 3.07619356e-14], Best Fitness = 8.570921750106208e-14, Evaluations = 1496
