Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 115: Best Solution = [-2.04031327e-12 -8.19206348e-13], Best Fitness = 4.8339772687567754e-24, Evaluations = 928
Generation 116: Best Solution = [-2.04031327e-12 -8.19206348e-13], Best Fitness = 6.745297315982611e-25, Evaluations = 936
Generation 117: Best Solution = [-2.04031327e-12 -8.19206348e-13], Best Fitness = 6.745297315982611e-25, Evaluations = 944
Generation 118: Best Solution = [-2.04031327e-12 -8.19206348e-13], Best Fitness = 6.745297315982611e-25, Evaluations = 952
Generation 119: Best Solution = [-2.04031327e-12 -8.19206348e-13], Best Fitness = 6.745297315982611e-25, Evaluations = 960
Generation 120: Best Solution = [ 5.09971250e-13 -3.81177912e-13], Best Fitness = 4.0536727673934677e-25, Evaluations = 968
Generation 121: Best Solution = [5.85721037e-14 1.44504835e-13], Best Fitness = 2.4312338553340834e-26, Evaluations = 976
Generation 122: Best Solution = [5.85721037e-14 1.44504835e-13], Best Fitness = 2.4312338553340834e-26, Evaluations = 984
Generation 123: Best Solution = [-1.74088391e-14  1.01082186e-13], Best Fitness = 1.0520675985235799e-26, Evaluations = 992
Generation 124: Best Solution = [-1.74088391e-14  1.01082186e-13], Best Fitness = 1.0520675985235799e-26, Evaluations = 1000
Generation 125: Best Solution = [-1.74088391e-14  1.01082186e-13], Best Fitness = 1.0520675985235799e-26, Evaluations = 1008
Generation 126: Best Solution = [-1.74088391e-14  1.01082186e-13], Best Fitness = 1.0520675985235799e-26, Evaluations = 1016
Generation 127: Best Solution = [-1.74088391e-14  1.01082186e-13], Best Fitness = 1.0520675985235799e-26, Evaluations = 1024
Generation 128: Best Solution = [-1.74088391e-14  1.01082186e-13], Best Fitness = 4.005825591854866e-28, Evaluations = 1032
Generation 129: Best Solution = [-1.74088391e-14  1.01082186e-13], Best Fitness = 4.005825591854866e-28, Evaluations = 1040
Generation 130: Best Solution = [5.38544377e-15 1.00974508e-14], Best Fitness = 1.3096151669768158e-28, Evaluations = 1048
Generation 131: Best Solution = [5.38544377e-15 1.00974508e-14], Best Fitness = 1.3096151669768158e-28, Evaluations = 1056
Generation 132: Best Solution = [1.97941372e-15 3.85662349e-15], Best Fitness = 1.8791623408418227e-29, Evaluations = 1064
Generation 133: Best Solution = [1.97941372e-15 3.85662349e-15], Best Fitness = 1.8791623408418227e-29, Evaluations = 1072
Generation 134: Best Solution = [1.97941372e-15 3.85662349e-15], Best Fitness = 1.8791623408418227e-29, Evaluations = 1080
Generation 135: Best Solution = [-3.12179580e-15 -1.04539061e-15], Best Fitness = 1.0838450581305504e-29, Evaluations = 1088
Generation 136: Best Solution = [-4.10868766e-16  2.56242922e-15], Best Fitness = 6.73485666793476e-30, Evaluations = 1096
Generation 137: Best Solution = [-4.10868766e-16  2.56242922e-15], Best Fitness = 6.73485666793476e-30, Evaluations = 1104
Generation 138: Best Solution = [-1.31438978e-15 -1.04539061e-15], Best Fitness = 2.820462018082071e-30, Evaluations = 1112
Generation 139: Best Solution = [1.00914164e-15 2.50621278e-16], Best Fitness = 1.0811778657303513e-30, Evaluations = 1120
Generation 140: Best Solution = [1.00914164e-15 2.50621278e-16], Best Fitness = 1.0811778657303513e-30, Evaluations = 1128
Generation 141: Best Solution = [1.00914164e-15 2.50621278e-16], Best Fitness = 1.0811778657303513e-30, Evaluations = 1136
Generation 142: Best Solution = [1.00914164e-15 2.50621278e-16], Best Fitness = 5.426299868588638e-31, Evaluations = 1144
Generation 143: Best Solution = [1.00914164e-15 2.50621278e-16], Best Fitness = 5.426299868588638e-31, Evaluations = 1152
Generation 144: Best Solution = [ 4.57859650e-16 -4.02848127e-16], Best Fitness = 3.719220720067461e-31, Evaluations = 1160
Generation 145: Best Solution = [ 3.85897366e-16 -1.04116120e-16], Best Fitness = 1.597569438512036e-31, Evaluations = 1168
Generation 146: Best Solution = [ 3.85897366e-16 -1.04116120e-16], Best Fitness = 1.3285235086065566e-31, Evaluations = 1176
Generation 147: Best Solution = [ 3.85897366e-16 -1.04116120e-16], Best Fitness = 1.3285235086065566e-31, Evaluations = 1184
Generation 148: Best Solution = [ 3.85897366e-16 -1.04116120e-16], Best Fitness = 1.3285235086065566e-31, Evaluations = 1192
Generation 149: Best Solution = [3.80749886e-17 3.99227129e-17], Best Fitness = 3.043527761787783e-33, Evaluations = 1200
Generation 150: Best Solution = [3.80749886e-17 3.99227129e-17], Best Fitness = 3.043527761787783e-33, Evaluations = 1208
Generation 151: Best Solution = [3.80749886e-17 3.99227129e-17], Best Fitness = 3.043527761787783e-33, Evaluations = 1216
Generation 152: Best Solution = [3.80749886e-17 3.99227129e-17], Best Fitness = 3.043527761787783e-33, Evaluations = 1224
Generation 153: Best Solution = [ 3.89557924e-18 -3.62067900e-17], Best Fitness = 1.3261071825772909e-33, Evaluations = 1232
Generation 154: Best Solution = [ 3.89557924e-18 -3.62067900e-17], Best Fitness = 1.3261071825772909e-33, Evaluations = 1240
Generation 155: Best Solution = [ 3.89557924e-18 -3.62067900e-17], Best Fitness = 1.3261071825772909e-33, Evaluations = 1248
Generation 156: Best Solution = [ 6.89077644e-18 -1.29638743e-17], Best Fitness = 2.1554483561763196e-34, Evaluations = 1256
Generation 157: Best Solution = [ 6.89077644e-18 -1.29638743e-17], Best Fitness = 2.1554483561763196e-34, Evaluations = 1264
Generation 158: Best Solution = [ 6.89077644e-18 -1.29638743e-17], Best Fitness = 2.1554483561763196e-34, Evaluations = 1272
Generation 159: Best Solution = [ 6.89077644e-18 -1.29638743e-17], Best Fitness = 2.1554483561763196e-34, Evaluations = 1280
