Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 197: Best Solution = [0.98975817 0.97962185], Best Fitness = 0.00010489510806837157, Evaluations = 1584
Generation 198: Best Solution = [0.98975817 0.97962185], Best Fitness = 0.00010489510806837157, Evaluations = 1592
Generation 199: Best Solution = [0.98975839 0.97962407], Best Fitness = 0.0001048911047225614, Evaluations = 1600
Generation 200: Best Solution = [0.9897585  0.97962516], Best Fitness = 0.0001048893759880167, Evaluations = 1608
Generation 201: Best Solution = [0.98975886 0.97961352], Best Fitness = 0.00010488915759051637, Evaluations = 1616
Generation 202: Best Solution = [0.98975866 0.97962672], Best Fitness = 0.00010488717209763469, Evaluations = 1624
Generation 203: Best Solution = [0.98975913 0.97962025], Best Fitness = 0.00010487627633384646, Evaluations = 1632
Generation 204: Best Solution = [0.98975913 0.97962025], Best Fitness = 0.00010487627633384646, Evaluations = 1640
Generation 205: Best Solution = [0.98975913 0.97962025], Best Fitness = 0.00010487627633384646, Evaluations = 1648
Generation 206: Best Solution = [0.98975973 0.97962346], Best Fitness = 0.00010486318683238996, Evaluations = 1656
Generation 207: Best Solution = [0.98975973 0.97962346], Best Fitness = 0.00010486318683238996, Evaluations = 1664
Generation 208: Best Solution = [0.98975973 0.97962346], Best Fitness = 0.00010486318683238996, Evaluations = 1672
Generation 209: Best Solution = [0.98975973 0.97962346], Best Fitness = 0.00010486318683238996, Evaluations = 1680
Generation 210: Best Solution = [0.98975973 0.97962346], Best Fitness = 0.00010486318683238996, Evaluations = 1688
Generation 211: Best Solution = [0.98975973 0.97962346], Best Fitness = 0.00010486318683238996, Evaluations = 1696
Generation 212: Best Solution = [0.98976025 0.97962137], Best Fitness = 0.00010485406019622425, Evaluations = 1704
Generation 213: Best Solution = [0.98976023 0.97962483], Best Fitness = 0.00010485285746117737, Evaluations = 1712
Generation 214: Best Solution = [0.98976023 0.97962483], Best Fitness = 0.00010485285746117737, Evaluations = 1720
Generation 215: Best Solution = [0.98976046 0.97962148], Best Fitness = 0.00010484993599860445, Evaluations = 1728
Generation 216: Best Solution = [0.98976048 0.97962346], Best Fitness = 0.00010484839369767458, Evaluations = 1736
Generation 217: Best Solution = [0.98976068 0.97961968], Best Fitness = 0.00010484788696769263, Evaluations = 1744
Generation 218: Best Solution = [0.98976056 0.97962382], Best Fitness = 0.0001048465557363078, Evaluations = 1752
Generation 219: Best Solution = [0.98976089 0.97962482], Best Fitness = 0.00010483978194494985, Evaluations = 1760
Generation 220: Best Solution = [0.98976089 0.97962482], Best Fitness = 0.00010483978194494985, Evaluations = 1768
Generation 221: Best Solution = [0.98976089 0.97962482], Best Fitness = 0.00010483978194494985, Evaluations = 1776
Generation 222: Best Solution = [0.98976089 0.97962482], Best Fitness = 0.00010483948939744118, Evaluations = 1784
Generation 223: Best Solution = [0.98976089 0.97962482], Best Fitness = 0.00010483948939744118, Evaluations = 1792
Generation 224: Best Solution = [0.98976089 0.97962482], Best Fitness = 0.00010483948939744118, Evaluations = 1800
Generation 225: Best Solution = [0.98976094 0.97962795], Best Fitness = 0.00010483845092111204, Evaluations = 1808
Generation 226: Best Solution = [0.98976094 0.97962795], Best Fitness = 0.00010483845092111204, Evaluations = 1816
Generation 227: Best Solution = [0.98976094 0.97962713], Best Fitness = 0.00010483833382170068, Evaluations = 1824
Generation 228: Best Solution = [0.98976099 0.97962712], Best Fitness = 0.00010483727805570845, Evaluations = 1832
Generation 229: Best Solution = [0.989761   0.97962752], Best Fitness = 0.00010483726440424801, Evaluations = 1840
Generation 230: Best Solution = [0.98976111 0.97962623], Best Fitness = 0.00010483498463998212, Evaluations = 1848
Generation 231: Best Solution = [0.98976111 0.97962623], Best Fitness = 0.00010483493984122898, Evaluations = 1856
