Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 206: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1656
Generation 207: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1664
Generation 208: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1672
Generation 209: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1680
Generation 210: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1688
Generation 211: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1696
Generation 212: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1704
Generation 213: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1712
Generation 214: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1720
Generation 215: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1728
Generation 216: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1736
Generation 217: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1744
Generation 218: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1752
Generation 219: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1760
Generation 220: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1768
Generation 221: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1776
Generation 222: Best Solution = [ 4.59327876e-16 -1.81011302e-15], Best Fitness = 3.9968028886505635e-15, Evaluations = 1784
