Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 156: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1256
Generation 157: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1264
Generation 158: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1272
Generation 159: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1280
Generation 160: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1288
Generation 161: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1296
Generation 162: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1304
Generation 163: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1312
Generation 164: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1320
Generation 165: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1328
Generation 166: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1336
Generation 167: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1344
Generation 168: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1352
Generation 169: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1360
Generation 170: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1368
Generation 171: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1376
Generation 172: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1384
Generation 173: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1392
Generation 174: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1400
Generation 175: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1408
Generation 176: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1416
Generation 177: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1424
Generation 178: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1432
Generation 179: Best Solution = [3.14002263 4.43844448], Best Fitness = 0.007396040334115006, Evaluations = 1440
