Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 100: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 808
Generation 101: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 816
Generation 102: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 824
Generation 103: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 832
Generation 104: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 840
Generation 105: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 848
Generation 106: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 856
Generation 107: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 864
Generation 108: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 872
Generation 109: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 880
Generation 110: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 888
Generation 111: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 896
Generation 112: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 904
Generation 113: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 912
Generation 114: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 920
Generation 115: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 928
Generation 116: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 936
Generation 117: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 944
Generation 118: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 952
Generation 119: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 960
Generation 120: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 968
Generation 121: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 976
Generation 122: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 984
Generation 123: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 992
Generation 124: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1000
Generation 125: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1008
Generation 126: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1016
Generation 127: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1024
Generation 128: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1032
Generation 129: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1040
Generation 130: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1048
Generation 131: Best Solution = [-7.22214433e-11  2.48066745e-09], Best Fitness = 0.0, Evaluations = 1056
